id,day,event_type,category,region,device,account_age_days,num_prev_listings,prev_reports_30d,verification_level,price,num_images,message_length,contains_off_platform,urgency_words,payment_attempt,time_to_first_response_min,is_suspicious
28,3,message_send,fashion,urban,ios,25.8,2,0,1,98.92,2,183,0,0,0,3.7,0
29,4,ad_post,phones,rural,android,28.9,1,0,2,140.62,2,76,0,1,0,4.8,0
30,10,message_send,phones,metro,android,477.0,2,0,1,,0,167,0,0,0,4.4,0
31,9,message_send,furniture,rural,android,18.9,0,0,1,275.42,2,167,0,0,0,13.1,0
32,6,ad_post,furniture,rural,android,71.3,3,1,1,30.73,2,183,0,0,1,32.0,0
33,5,message_send,other,rural,android,116.5,6,0,1,142.9,1,181,0,0,0,7.7,0
34,7,message_send,furniture,metro,web,10.3,1,1,1,250.78,0,199,0,0,0,155.2,1
35,5,ad_post,bikes,metro,android,130.1,8,0,0,73.29,2,101,0,0,1,,0
36,3,message_send,furniture,metro,ios,194.8,5,0,0,195.05,2,189,0,0,0,23.7,0
37,8,message_send,electronics,,web,307.7,3,0,1,49.62,4,213,0,0,0,11.1,0
38,4,ad_post,phones,urban,android,34.9,3,1,2,47.53,6,48,0,0,0,6.3,0
39,1,ad_post,other,metro,web,167.4,1,0,0,108.43,1,20,1,0,0,7.8,1
40,10,ad_post,bikes,metro,ios,208.9,3,0,2,206.27,1,213,0,1,0,17.4,0
41,2,ad_post,electronics,metro,android,64.6,3,0,0,47.78,7,88,1,1,0,25.9,0
42,1,ad_post,furniture,metro,ios,68.9,0,0,0,53.02,3,135,0,0,1,5.2,0
43,8,message_send,other,urban,android,52.8,4,0,1,,2,114,0,0,0,3.7,0
44,3,ad_post,phones,,android,134.9,4,0,0,69.3,2,9,0,1,0,12.3,0
45,12,ad_post,other,metro,ios,24.2,4,0,2,591.94,2,111,0,0,0,12.3,0
46,6,ad_post,fashion,urban,ios,64.3,6,0,1,135.34,3,89,0,0,0,,0
47,8,ad_post,bikes,rural,ios,47.0,5,0,1,164.51,6,184,0,0,0,32.8,0
48,8,ad_post,fashion,metro,android,210.3,2,0,0,61.27,0,121,0,0,0,32.2,0
49,1,ad_post,bikes,rural,ios,162.2,2,1,0,205.69,5,68,0,1,1,10.4,0
50,8,ad_post,furniture,rural,android,85.5,1,0,1,258.31,2,150,1,0,1,10.8,0
51,11,ad_post,furniture,metro,android,33.2,4,0,0,68.86,5,28,0,0,0,102.5,0
52,10,ad_post,fashion,urban,ios,62.2,2,0,0,132.57,1,78,0,0,0,9.2,0
53,2,ad_post,electronics,urban,ios,34.7,6,0,1,164.3,3,145,1,0,0,4.2,1
54,4,ad_post,other,metro,android,141.9,6,0,2,139.26,2,35,0,0,0,5.2,0
55,13,ad_post,phones,metro,web,102.3,2,0,1,146.57,1,134,0,0,0,21.7,0
56,1,message_send,other,metro,android,115.0,2,0,0,116.72,1,188,1,0,0,17.9,0
57,3,ad_post,bikes,urban,android,148.2,0,0,0,86.64,2,38,0,0,0,28.7,0
58,13,ad_post,phones,metro,android,14.9,5,0,1,524.99,5,229,0,0,0,,0
59,13,message_send,electronics,urban,android,78.6,7,0,0,73.04,2,55,0,0,0,11.8,0
60,11,ad_post,other,metro,android,35.6,2,0,2,301.96,4,118,0,0,1,3.2,0
61,10,message_send,fashion,metro,android,46.7,4,0,0,325.15,5,167,0,0,0,5.6,0
62,13,ad_post,bikes,metro,android,290.0,3,0,0,56.31,3,31,0,0,0,8.1,1
63,14,ad_post,other,metro,android,25.1,1,0,0,221.09,5,117,0,0,0,7.2,0
64,9,ad_post,bikes,urban,android,37.5,7,0,0,52.5,0,162,0,1,1,4.5,0
65,8,ad_post,electronics,metro,android,23.6,2,0,0,483.09,3,54,0,1,0,54.8,0
66,9,ad_post,electronics,urban,web,144.9,2,0,1,105.96,7,12,1,0,0,9.1,0
67,13,ad_post,bikes,urban,android,45.3,3,0,0,,0,138,0,0,0,3.1,0
68,7,message_send,fashion,metro,ios,43.0,0,0,0,585.35,2,231,1,0,0,42.3,0
69,10,ad_post,other,urban,android,78.1,3,3,0,250.81,4,126,0,1,0,22.6,0
70,14,ad_post,other,urban,ios,126.6,4,0,1,136.36,5,133,0,0,0,5.5,0
71,5,ad_post,other,metro,web,534.8,6,1,0,448.68,4,97,0,0,0,5.1,0
72,13,ad_post,electronics,metro,android,16.9,4,0,2,68.5,3,122,0,0,0,40.5,0
73,7,ad_post,other,urban,android,103.0,4,1,1,204.72,2,101,0,1,0,12.2,1
74,6,ad_post,other,urban,android,108.5,3,1,0,166.38,4,111,0,0,0,11.0,0
75,9,ad_post,bikes,urban,android,93.6,0,0,1,465.43,4,95,0,0,0,30.2,0
76,9,ad_post,other,metro,android,19.0,4,0,0,343.0,3,0,0,1,0,49.6,1
77,5,message_send,bikes,metro,ios,585.6,3,0,1,247.22,5,119,0,0,0,32.1,0
78,6,ad_post,other,metro,android,21.7,5,0,1,,6,56,0,0,1,40.2,0
79,4,ad_post,electronics,urban,web,487.7,2,0,0,45.44,2,78,0,0,0,7.0,0
80,5,ad_post,furniture,metro,android,195.3,0,0,2,250.6,3,207,0,0,0,6.3,0
81,9,message_send,other,metro,android,72.3,6,0,1,40.64,3,130,0,0,0,18.1,0
82,3,ad_post,furniture,,android,157.7,4,0,1,384.86,4,87,0,0,1,,0
83,13,ad_post,bikes,metro,android,392.8,3,1,0,330.95,1,109,0,0,0,76.0,0
84,14,ad_post,other,urban,web,361.8,4,0,0,89.07,3,140,0,0,0,9.8,0
85,6,message_send,fashion,metro,ios,101.6,8,0,1,16.57,2,90,0,0,0,13.3,0
86,6,message_send,electronics,urban,android,27.9,3,0,2,80.06,8,239,0,0,0,19.0,0
87,13,ad_post,phones,urban,android,67.3,3,1,1,,3,71,0,0,0,6.2,0
88,14,message_send,fashion,metro,android,47.5,4,0,1,70.09,1,194,0,0,0,38.5,0
89,6,ad_post,bikes,urban,ios,102.0,1,0,0,221.64,2,125,1,0,0,,0
90,8,message_send,other,metro,android,72.6,6,0,0,133.53,6,252,0,0,0,11.6,0
91,5,message_send,furniture,rural,ios,16.4,4,0,0,211.76,5,205,0,0,0,40.4,0
92,11,ad_post,furniture,urban,ios,243.2,7,2,0,65.21,3,105,0,0,0,8.3,0
93,13,ad_post,electronics,urban,ios,149.7,6,0,0,174.96,3,79,1,1,0,12.0,0
94,3,ad_post,electronics,urban,ios,30.0,2,0,1,40.92,3,120,0,0,1,,0
95,1,ad_post,phones,metro,android,30.0,2,1,1,127.22,2,150,0,0,0,12.1,1
96,6,ad_post,other,rural,ios,142.5,1,0,0,85.59,0,17,0,0,0,24.4,0
97,5,message_send,phones,urban,ios,63.4,4,0,0,54.94,4,36,0,0,0,6.0,0
98,13,ad_post,electronics,rural,ios,27.3,6,0,0,253.03,5,173,0,0,0,2.1,0
99,11,ad_post,fashion,rural,ios,102.3,1,0,1,165.45,2,76,0,0,0,3.3,0
100,13,ad_post,other,metro,android,119.2,5,0,0,97.28,5,71,0,0,0,25.2,1
101,7,ad_post,bikes,metro,ios,21.4,5,1,0,1092.32,2,65,0,0,0,12.9,1
102,11,message_send,electronics,urban,android,28.4,2,1,0,1252.79,1,333,0,0,0,19.0,0
103,3,ad_post,other,metro,android,33.1,1,0,1,321.93,1,204,0,0,0,7.7,0
104,1,ad_post,electronics,urban,ios,47.9,6,1,0,47.08,2,29,0,0,0,,0
105,13,ad_post,electronics,metro,ios,81.5,4,0,0,114.66,2,64,1,0,0,5.4,0
106,7,message_send,phones,urban,ios,295.9,2,0,0,126.3,3,81,1,0,0,20.4,0
107,5,ad_post,phones,urban,android,27.4,2,1,2,207.82,4,104,0,0,0,4.0,0
108,10,ad_post,other,rural,web,56.8,5,0,1,225.92,2,125,0,0,0,28.1,0
109,10,ad_post,bikes,rural,ios,191.7,2,0,1,136.93,3,159,0,0,0,27.5,0
110,3,message_send,other,urban,web,36.9,5,0,1,239.48,5,126,0,0,1,9.6,0
111,1,ad_post,bikes,metro,ios,139.7,5,0,1,,2,125,0,0,0,18.4,0
112,5,ad_post,electronics,rural,android,298.7,3,0,0,,1,166,0,0,0,10.5,0
113,12,ad_post,electronics,metro,android,34.7,4,0,0,79.22,1,141,0,0,1,2.4,1
114,6,ad_post,fashion,metro,android,181.9,2,0,0,52.45,1,104,0,0,1,5.2,0
115,13,ad_post,other,metro,android,85.9,4,0,2,117.33,5,125,0,0,0,17.8,0
116,6,ad_post,electronics,metro,android,188.3,6,0,2,171.2,3,199,0,0,0,15.5,0
117,1,ad_post,phones,urban,android,84.6,1,0,0,145.83,3,82,0,0,0,28.7,0
118,13,message_send,electronics,rural,android,24.5,2,0,0,181.74,1,160,0,0,0,9.4,0
119,10,ad_post,bikes,metro,android,15.9,3,0,2,56.51,2,110,0,1,1,,1
120,4,message_send,fashion,metro,android,23.5,2,0,0,,3,222,0,0,0,15.2,0
121,1,ad_post,other,metro,web,239.1,5,0,1,37.25,3,109,0,0,0,18.8,0
122,5,ad_post,electronics,metro,android,130.8,2,0,0,171.48,2,105,0,0,0,10.3,0
123,8,ad_post,electronics,metro,ios,75.6,7,0,1,323.52,2,187,0,0,0,7.8,0
124,10,ad_post,bikes,metro,android,133.4,6,0,0,,5,73,0,0,0,4.7,0
125,3,ad_post,phones,rural,ios,213.4,6,0,1,104.34,1,145,0,0,0,34.8,0
126,12,ad_post,other,metro,android,68.6,3,0,1,160.58,1,77,0,0,0,14.8,0
127,2,ad_post,phones,urban,ios,18.3,5,1,2,43.01,5,87,0,0,0,9.8,0
128,13,ad_post,bikes,metro,android,16.6,4,0,1,189.88,3,129,0,0,0,25.2,0
129,6,ad_post,fashion,urban,web,40.2,2,0,0,209.22,5,227,0,0,0,2.5,0
130,7,ad_post,other,metro,android,33.4,3,0,0,,3,216,0,0,0,7.1,0
131,12,ad_post,fashion,metro,android,13.7,2,0,0,48.85,4,22,0,0,0,4.7,0
132,13,ad_post,furniture,urban,ios,299.5,4,0,0,197.91,4,202,0,0,0,5.4,0
133,8,ad_post,electronics,metro,android,47.2,2,0,0,127.61,3,110,0,0,0,10.0,1
134,4,message_send,phones,urban,android,224.6,5,0,2,129.4,2,254,0,0,0,3.9,0
135,9,message_send,furniture,rural,android,48.6,6,0,0,35.71,0,229,0,0,0,21.4,0
136,5,ad_post,furniture,rural,android,66.0,1,0,1,102.07,4,155,0,1,0,14.4,0
137,10,message_send,phones,urban,web,61.0,1,0,2,92.64,2,187,0,0,0,32.0,0
138,7,ad_post,furniture,rural,android,457.4,3,1,0,306.11,2,29,0,0,1,5.5,1
139,6,ad_post,fashion,urban,web,70.7,2,0,1,81.46,4,118,0,0,0,3.7,0
140,3,message_send,fashion,urban,ios,41.4,0,0,1,369.74,3,48,0,0,0,17.5,0
141,2,ad_post,fashion,,android,129.8,4,1,2,,2,23,0,0,0,0.8,0
142,5,message_send,furniture,metro,ios,13.3,2,0,1,596.79,1,123,1,1,0,6.8,1
143,7,ad_post,other,urban,ios,35.5,3,0,1,,5,150,0,0,0,7.4,0
144,2,ad_post,bikes,urban,android,191.0,6,0,0,105.72,0,27,0,0,0,9.6,0
145,11,message_send,furniture,metro,android,260.2,2,0,0,842.81,4,201,0,0,0,12.9,0
146,2,message_send,furniture,metro,android,16.6,3,0,0,64.09,3,84,0,0,0,113.6,0
147,6,ad_post,furniture,rural,android,65.3,1,0,0,131.48,1,0,0,0,0,16.1,0
148,14,ad_post,other,rural,android,110.6,3,0,1,104.29,0,97,0,0,0,28.9,0
149,1,ad_post,phones,metro,android,26.1,3,0,1,,3,0,0,0,0,7.5,0
150,2,ad_post,other,rural,android,68.9,2,0,0,271.15,4,117,0,0,1,49.2,1
151,12,ad_post,electronics,metro,android,65.4,2,0,1,69.53,2,118,0,0,0,8.8,0
152,8,ad_post,furniture,,android,43.3,4,0,2,120.88,2,36,0,0,0,5.2,0
153,3,ad_post,electronics,urban,android,19.5,2,0,0,207.05,3,275,0,0,1,39.8,0
154,5,ad_post,phones,urban,android,515.5,4,1,2,72.28,4,57,0,1,0,14.1,0
155,1,message_send,fashion,metro,ios,118.0,3,0,1,620.29,3,219,0,0,0,13.6,0
156,1,ad_post,furniture,urban,android,123.7,2,0,0,110.38,8,127,0,0,0,39.3,0
157,11,ad_post,electronics,rural,ios,43.1,0,0,1,93.37,1,94,0,0,0,27.9,0
158,8,message_send,electronics,urban,android,89.7,2,0,1,983.01,3,116,0,0,1,6.3,0
159,2,message_send,other,metro,ios,25.9,0,1,0,90.8,4,185,0,0,0,3.8,0
160,9,ad_post,other,urban,android,13.4,4,0,1,132.42,4,140,0,0,0,65.9,0
161,11,message_send,phones,metro,ios,51.8,4,0,0,1146.32,1,129,0,0,0,11.8,0
162,11,ad_post,furniture,urban,android,84.5,1,0,1,137.73,2,94,0,1,0,21.7,0
163,13,ad_post,furniture,metro,android,61.7,1,1,0,39.9,4,104,0,0,1,9.5,0
164,1,ad_post,bikes,metro,ios,55.4,5,0,1,,5,136,0,0,0,6.5,0
165,9,message_send,other,metro,android,38.9,4,0,2,423.24,4,168,0,1,0,23.7,0
166,13,ad_post,electronics,metro,android,49.4,2,1,0,82.34,1,0,0,0,1,24.2,1
167,8,message_send,electronics,metro,android,23.3,2,0,2,109.82,4,186,1,0,0,45.6,0
168,8,ad_post,fashion,metro,ios,117.3,2,0,2,403.25,2,0,1,0,0,17.0,0
169,3,ad_post,other,,ios,136.9,0,0,2,243.77,4,66,0,0,0,20.1,0
170,6,ad_post,other,rural,ios,141.1,3,0,1,69.24,3,133,0,0,0,24.2,0
171,4,ad_post,phones,urban,android,67.9,1,0,0,108.35,2,106,0,0,0,6.0,0
172,12,ad_post,fashion,metro,ios,200.3,1,0,1,116.28,4,0,0,0,0,11.3,0
173,7,ad_post,bikes,urban,ios,37.0,7,0,0,164.75,2,49,0,0,0,16.1,0
174,14,message_send,bikes,metro,android,26.6,2,0,0,674.53,0,146,0,0,0,3.5,0
175,9,ad_post,other,urban,ios,98.6,3,0,1,47.4,4,108,0,1,0,1.2,0
176,3,ad_post,other,metro,android,78.2,3,0,0,,3,41,1,0,1,,1
177,14,message_send,electronics,urban,android,24.0,1,0,1,364.3,1,250,0,0,0,6.2,0
178,13,ad_post,bikes,urban,ios,88.2,9,0,0,155.63,2,104,0,0,0,13.6,0
179,11,message_send,other,urban,android,63.4,2,0,0,812.54,7,161,0,0,0,7.0,0
180,7,ad_post,phones,metro,web,13.5,7,0,1,393.91,1,69,0,1,0,15.5,0
181,7,ad_post,electronics,rural,android,66.0,3,0,1,266.05,2,81,0,0,0,16.3,0
182,2,ad_post,electronics,metro,android,99.5,1,0,2,934.74,6,126,0,0,0,20.8,0
183,4,ad_post,fashion,urban,android,354.8,4,1,0,204.45,3,152,0,0,0,33.8,0
184,13,ad_post,other,rural,web,56.3,0,1,1,70.03,2,184,0,0,0,4.9,0
185,7,message_send,furniture,urban,android,29.3,4,0,2,60.59,4,175,0,0,0,22.0,0
186,7,ad_post,furniture,metro,ios,31.9,3,1,0,231.53,3,130,0,0,0,,0
187,7,ad_post,other,metro,android,168.5,4,0,0,153.15,1,32,0,0,0,42.7,0
188,3,message_send,phones,metro,android,219.6,3,0,0,665.38,3,280,0,0,0,6.5,0
189,9,ad_post,electronics,,ios,57.5,4,0,1,175.97,4,18,0,0,0,14.4,0
190,1,ad_post,bikes,metro,android,72.0,3,0,1,282.49,5,71,0,0,0,1.9,0
191,4,message_send,phones,urban,android,102.2,3,0,1,109.97,3,143,0,1,0,,0
192,10,message_send,electronics,urban,android,186.9,9,0,1,195.3,4,198,0,0,0,9.9,0
193,7,message_send,electronics,rural,ios,35.4,2,0,0,242.43,3,100,0,1,0,4.7,0
194,6,ad_post,electronics,urban,ios,208.2,4,1,2,87.05,4,151,0,0,0,16.6,0
195,4,ad_post,other,rural,android,15.6,1,0,2,129.87,3,45,0,0,0,2.0,1
196,1,ad_post,other,urban,ios,34.0,5,0,0,917.15,3,0,0,0,0,5.5,0
197,5,ad_post,other,urban,android,496.9,1,1,0,318.99,4,137,0,0,1,10.4,0
198,12,ad_post,phones,metro,android,88.9,1,0,2,56.38,4,108,1,0,1,43.8,0
199,10,ad_post,electronics,metro,android,69.7,2,0,0,,7,65,0,0,1,5.2,0
200,11,message_send,phones,rural,web,206.1,2,0,1,122.63,4,213,0,0,0,13.3,0
201,11,ad_post,bikes,metro,android,112.7,2,0,2,,2,87,0,0,0,33.3,0
202,4,ad_post,fashion,metro,ios,36.9,3,1,1,1100.67,3,34,0,0,0,5.0,0
203,8,ad_post,furniture,metro,android,64.9,3,1,1,138.38,1,60,0,0,0,,0
204,5,ad_post,phones,metro,ios,171.8,2,0,2,369.16,2,176,0,0,0,6.6,0
205,11,ad_post,phones,metro,android,173.6,2,0,1,169.51,1,115,0,0,0,13.8,0
206,14,ad_post,electronics,urban,ios,54.0,3,0,1,183.31,3,65,0,0,0,30.0,0
207,9,message_send,other,urban,web,26.9,2,0,1,39.13,2,189,0,1,0,13.1,0
208,1,message_send,furniture,rural,ios,131.7,4,0,0,193.53,1,218,0,0,0,7.7,0
209,9,ad_post,other,metro,web,155.5,2,0,0,181.15,6,53,0,0,0,21.0,1
210,12,ad_post,electronics,rural,android,13.8,3,0,1,94.73,2,91,0,0,1,34.6,0
211,14,ad_post,fashion,rural,android,24.9,3,0,2,39.44,2,50,0,1,0,13.1,1
212,5,ad_post,bikes,metro,ios,139.0,2,0,2,283.87,1,96,0,0,1,12.1,0
213,11,ad_post,bikes,metro,android,35.3,2,0,1,507.34,3,103,0,0,1,26.5,0
214,3,message_send,fashion,urban,android,27.8,4,0,1,17.71,2,241,0,0,1,26.7,0
215,14,ad_post,other,metro,web,58.8,2,0,1,146.19,2,116,0,0,0,18.5,0
216,10,ad_post,fashion,metro,android,111.6,4,1,2,271.98,2,191,0,0,0,1.8,0
217,10,message_send,furniture,urban,android,315.8,1,0,1,50.94,1,145,0,0,1,7.7,0
218,4,ad_post,furniture,rural,android,77.4,4,0,2,97.68,4,38,0,0,0,5.1,0
219,11,message_send,electronics,rural,android,40.5,3,0,1,97.47,2,249,0,0,0,3.5,0
220,9,ad_post,fashion,metro,android,150.9,2,0,1,558.63,4,19,0,0,0,37.5,0
221,12,ad_post,other,metro,ios,760.4,3,0,0,173.67,2,3,0,0,0,3.9,0
222,10,message_send,fashion,urban,ios,135.0,5,0,0,89.45,2,56,0,0,0,13.4,0
223,3,message_send,fashion,metro,android,154.7,2,0,0,97.54,0,219,0,0,1,61.4,0
224,3,ad_post,bikes,metro,ios,34.7,2,0,1,92.01,4,0,0,0,0,10.5,1
225,11,message_send,other,metro,android,787.0,1,0,1,,0,152,0,0,0,26.4,0
226,4,ad_post,other,urban,web,93.7,5,1,2,361.48,1,181,0,0,0,13.4,0
227,8,ad_post,electronics,metro,android,315.8,2,0,1,301.94,2,155,0,0,0,27.6,0
228,4,ad_post,furniture,metro,web,229.9,4,0,1,27.61,1,89,1,0,0,6.5,0
229,4,ad_post,bikes,metro,ios,23.7,3,0,1,385.15,4,106,0,1,1,15.7,0
230,14,message_send,phones,urban,ios,32.9,3,0,0,166.08,6,188,0,0,0,6.7,0
231,8,message_send,other,metro,ios,12.4,2,1,0,442.4,2,254,0,0,0,10.0,0
232,11,ad_post,furniture,metro,android,743.3,6,0,0,224.78,3,215,0,0,0,1.9,0
233,14,ad_post,other,urban,android,122.6,3,0,2,241.66,0,2,0,0,1,,0
234,6,ad_post,phones,metro,web,26.3,1,0,1,159.47,4,5,0,0,0,21.1,0
235,12,message_send,fashion,urban,android,103.3,2,0,0,461.75,3,159,0,0,0,15.3,0
236,5,ad_post,fashion,rural,ios,68.0,7,0,0,161.51,3,33,0,0,0,47.3,0
237,4,ad_post,other,metro,ios,242.7,3,0,0,215.27,5,91,0,0,0,194.6,0
238,3,message_send,other,rural,android,16.9,2,1,1,369.22,6,55,0,0,0,1.8,1
239,5,message_send,phones,urban,android,68.0,2,0,0,64.23,1,174,0,0,0,4.5,0
240,8,message_send,furniture,metro,android,53.7,1,0,2,146.52,0,199,0,1,0,16.6,0
241,11,message_send,fashion,rural,android,64.8,3,3,1,95.02,2,186,0,0,0,5.7,0
242,8,ad_post,furniture,metro,android,23.6,5,0,1,295.08,2,56,0,0,0,55.1,0
243,9,ad_post,phones,metro,web,217.9,1,0,1,602.0,4,126,0,0,0,3.2,0
244,5,ad_post,other,rural,android,27.0,6,0,0,322.82,1,0,0,0,1,6.7,1
245,9,ad_post,phones,urban,ios,278.3,0,0,1,96.74,1,66,0,0,1,22.2,0
246,14,ad_post,fashion,urban,android,60.8,4,0,2,65.49,8,57,0,0,0,7.2,0
247,10,ad_post,bikes,rural,ios,38.8,2,0,0,114.34,3,141,0,0,0,5.8,0
248,9,ad_post,bikes,urban,web,46.7,1,0,1,175.02,3,67,0,0,0,37.4,0
249,4,ad_post,phones,metro,android,50.3,1,0,0,326.2,4,152,0,0,0,23.6,0
250,6,ad_post,other,metro,android,38.2,1,0,1,58.37,0,56,0,0,0,3.1,0
251,3,message_send,electronics,urban,android,20.6,4,0,2,66.02,2,205,0,0,0,21.9,0
252,12,ad_post,furniture,metro,android,33.3,2,0,0,446.48,5,128,0,1,0,4.5,0
253,1,message_send,furniture,rural,android,128.3,2,1,2,77.39,4,191,0,0,0,58.4,0
254,11,ad_post,other,metro,android,44.2,4,1,0,123.66,4,1,0,0,0,1.0,0
255,3,ad_post,electronics,urban,android,26.5,4,0,0,108.84,4,76,0,0,0,3.6,0
256,7,message_send,phones,rural,ios,73.1,3,0,0,25.4,1,133,0,0,1,12.0,0
257,10,ad_post,furniture,metro,ios,309.6,0,0,2,98.81,2,91,0,0,0,6.1,0
258,7,message_send,furniture,,ios,55.4,4,0,1,183.44,0,230,0,0,0,1.5,0
259,9,ad_post,furniture,metro,android,90.6,3,0,1,443.93,2,54,0,0,0,30.1,0
260,11,message_send,other,urban,android,41.7,2,0,2,120.32,2,204,0,0,0,25.6,0
261,2,ad_post,other,metro,ios,51.5,5,0,0,431.38,0,107,0,0,0,5.0,0
262,14,ad_post,phones,urban,ios,23.2,6,1,0,404.31,4,52,0,0,0,78.0,0
263,5,ad_post,phones,metro,android,75.4,2,0,0,265.04,5,83,0,0,1,11.3,0
264,2,ad_post,other,metro,android,50.0,2,0,2,309.44,4,74,0,0,0,9.4,0
265,3,ad_post,other,metro,ios,25.5,3,0,1,180.76,4,74,0,0,0,64.4,0
266,7,ad_post,other,rural,android,49.2,3,0,0,142.46,3,0,0,0,0,6.6,1
267,2,message_send,electronics,urban,android,28.3,2,0,1,190.57,1,227,0,0,0,4.0,0
268,9,message_send,electronics,metro,ios,31.0,3,1,0,465.88,4,187,0,0,0,65.8,1
269,9,ad_post,furniture,metro,ios,93.6,2,0,1,256.21,1,114,0,0,0,62.7,0
270,1,message_send,fashion,metro,android,16.8,2,0,1,,2,91,0,0,1,15.6,0
271,10,ad_post,other,metro,android,57.4,2,0,0,108.57,3,230,0,0,0,8.5,0
272,9,ad_post,bikes,rural,android,80.1,6,0,2,,6,62,0,0,1,13.0,0
273,2,message_send,phones,urban,ios,204.0,6,0,0,272.49,5,144,0,0,0,30.7,0
274,3,ad_post,other,urban,ios,77.9,1,0,1,,2,107,0,0,0,6.7,0
275,1,message_send,fashion,urban,android,81.4,3,0,0,148.16,3,155,0,0,1,17.5,0
276,12,ad_post,other,urban,android,71.8,3,0,1,177.95,2,75,0,0,1,1.8,0
277,12,ad_post,electronics,rural,android,156.4,5,0,0,44.69,1,23,0,0,0,11.0,0
278,8,message_send,fashion,metro,android,43.2,3,0,1,41.88,0,191,0,0,0,5.7,0
279,11,ad_post,other,urban,ios,46.7,1,0,1,100.24,3,83,0,1,0,10.5,0
280,9,message_send,bikes,urban,android,131.5,5,0,0,148.97,6,131,0,0,0,127.6,1
281,9,ad_post,furniture,metro,ios,78.3,2,0,0,112.36,4,0,0,0,0,12.7,0
282,4,ad_post,phones,metro,android,28.8,3,0,1,692.32,2,143,0,0,0,3.5,0
283,9,ad_post,furniture,urban,android,126.1,4,2,1,107.46,7,0,0,0,0,11.0,0
284,5,ad_post,other,rural,android,62.2,1,0,0,188.52,4,7,1,0,1,193.6,0
285,8,ad_post,other,urban,ios,58.0,3,0,1,220.87,2,0,0,0,0,,0
286,2,ad_post,other,urban,android,94.6,5,0,0,75.94,4,260,0,0,0,18.0,0
287,13,ad_post,other,urban,android,504.5,6,0,1,80.81,4,87,0,0,0,20.8,0
288,12,message_send,phones,metro,web,20.8,5,1,1,345.82,3,113,0,0,1,12.9,0
289,5,ad_post,other,metro,android,25.6,3,0,0,63.56,8,48,0,0,1,15.4,1
290,12,ad_post,furniture,urban,android,279.7,6,0,0,157.5,6,64,0,0,1,33.6,0
291,1,message_send,phones,rural,android,72.8,6,0,1,168.22,2,106,0,0,1,13.8,0
292,14,ad_post,phones,urban,android,100.6,6,1,2,129.65,4,117,0,0,1,1.7,0
293,9,ad_post,phones,urban,ios,276.8,3,0,2,431.1,3,37,0,0,0,11.6,0
